id;assessment_id;question_text;options;correct_option;explanation;topic;sort_order;created_at
baa0a582-0294-4571-aeaf-d9cd75f709b0;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;Which SQL clause is used to filter rows?;"[""SELECT"",""WHERE"",""FROM"",""ORDER BY""]";1;WHERE filters rows based on conditions.;Basics;1;2027-09-08 10:05:22.33463+00
f525585f-94fb-410d-9a20-77a74d282348;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;Which JOIN returns all rows from both tables?;"[""INNER JOIN"",""LEFT JOIN"",""RIGHT JOIN"",""FULL OUTER JOIN""]";3;FULL OUTER JOIN returns all rows from both tables.;Joins;2;2027-09-08 10:05:22.499242+00
fbdabdd2-12b7-4ffd-aaab-b2324281a434;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;What does GROUP BY do?;"[""Sorts results"",""Groups rows by column values"",""Limits results"",""Joins tables""]";1;GROUP BY groups rows sharing a property for aggregation.;Aggregation;3;2027-09-08 10:05:22.657455+00
ec964f97-34ab-4cc1-8ae3-5149d321213d;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;Which function counts rows?;"[""SUM()"",""COUNT()"",""AVG()"",""MAX()""]";1;COUNT() returns the number of rows.;Functions;4;2027-09-08 10:05:22.810228+00
2b06656e-0e70-4c31-a74e-165100fcd33c;55b396fd-6cbf-4a2d-939b-7d3ed4748b79;What is a PRIMARY KEY?;"[""A foreign reference"",""A unique row identifier"",""An index"",""A constraint for NULLs""]";1;A primary key uniquely identifies each row.;Keys;5;2027-09-08 10:05:23.007445+00
cf233208-3223-4383-b394-5702480e91fc;e341cdb1-ebcd-47df-bcae-a5ffdb141976;Which keyword defines a function in Python?;"[""func"",""function"",""def"",""define""]";2;The 'def' keyword defines functions in Python.;Functions;1;2027-09-08 10:05:23.172105+00
d8bc4648-62e0-47bd-8542-7100f10504a4;e341cdb1-ebcd-47df-bcae-a5ffdb141976;What is the output of len([1,2,3])?;"[""2"",""3"",""4"",""Error""]";1;len() returns the number of elements, which is 3.;Data Types;2;2027-09-08 10:05:23.331268+00
b22275e7-8730-4844-954a-b41f6cbf2a94;e341cdb1-ebcd-47df-bcae-a5ffdb141976;Which data type is immutable?;"[""List"",""Dictionary"",""Set"",""Tuple""]";3;Tuples are immutable in Python.;Data Types;3;2027-09-08 10:05:23.493286+00
03f58144-15b4-4e82-92f0-346b8b8ce2c2;e341cdb1-ebcd-47df-bcae-a5ffdb141976;How do you start a comment in Python?;"[""//"",""/*"",""#"",""--""]";2;Python uses # for single-line comments.;Syntax;4;2027-09-08 10:05:23.649102+00
d79b6bb7-d2e9-4368-a3be-f4debbb2973e;e341cdb1-ebcd-47df-bcae-a5ffdb141976;What does pip install do?;"[""Runs a script"",""Installs a package"",""Creates a file"",""Compiles code""]";1;pip install downloads and installs Python packages.;Tools;5;2027-09-08 10:05:23.845626+00
5941404b-0555-49e7-9d0d-e33f1b19f2b6;22415ca0-4b54-4382-80bf-bdc5dea20a89;What hook manages state in functional components?;"[""useEffect"",""useState"",""useRef"",""useMemo""]";1;useState manages state in functional components.;Hooks;1;2027-09-08 10:05:24.012476+00
bdcfcc79-3a65-4daa-9880-d0c282eb2380;22415ca0-4b54-4382-80bf-bdc5dea20a89;What is JSX?;"[""A database"",""JavaScript XML syntax"",""A CSS framework"",""A testing tool""]";1;JSX lets you write HTML-like syntax in JavaScript.;Basics;2;2027-09-08 10:05:24.168532+00
48ed9721-aa8c-40e5-90b8-1488e474be91;22415ca0-4b54-4382-80bf-bdc5dea20a89;Which hook runs side effects?;"[""useState"",""useEffect"",""useCallback"",""useContext""]";1;useEffect handles side effects like API calls.;Hooks;3;2027-09-08 10:05:24.327998+00
